62:| next_action | Obtain an explicit user-selected historical data path for `032157` from the combined state, then run the workflow-deferred factor-research / structural-feedback path to create mature branch observations before another promotion check; do not promote from RC-SPA or CatBoost candidate-set raw scores | Keep exactly one next action |
380:- [x] B2R Sapienza pump/dump positive-control source gate. `20260511T195945` accepted a scoped Telegram pump/dump positive-control confidence slice from the pinned Sapienza source commit: `317` accepted event groups, `951` positive feature rows across `5S/15S/25S`, minimum chronological heldout Wilson95 LCB `0.970640354706`, and `85` minimum positive symbols. This is source/control confidence evidence only: `trade_usable=false`, allowed action is suppression/cooldown overlay, strict full objective remains false, and no Board B profitability rows or downstream promotion were added.
394:- [x] Completion-audit v35 after source outbox. `20260511T204335` checked the active objective after the request/outbox/source-uplift work. Strict full objective remains false: `R2/R3/R4/R5` files are not acquired, `R6` is still partial/blocked, accepted rows added stayed `0`, and `update_goal=false`.
395:- [x] B2R source-acquisition outbox v2. `20260511T204715` merged the R6 bear-raid / painting-tape candidate surfaces into the no-send acquisition queue: input outbox rows `5`, R6 candidate surfaces `5`, v2 outbox rows `9`, species coverage `bear_raid=2` and `painting_tape=3`. It did not contact owners, download private rows, create intake files, or add accepted rows; `request_sent=false`, `rows_acquired=false`, `accepted_rows_added=0`, and `update_goal=false`.
396:- [x] B2R source-acquisition request draft bundle. `20260511T204729` wrote `5` local no-send request drafts covering `R2/R3/R4/R5/R6`. This is handoff material only: `request_sent=false`, `rows_acquired=false`, `accepted_rows_added=0`, `new_confidence_gate=false`, and `update_goal=false`.
401:- [x] Completion/drift audit v36 after scoped Manipulation component pass. `20260511T210024` re-read the current Board B cursor and latest `205047` / `205050` / `205054` artifacts, then observed the cursor advance to active `205958` during verification. Result: `goal_complete=false`, `update_goal=false`; `205047` is a scoped direct Manipulation component pass only, completed Bull/Bear/Sideways/Crisis RC-SPA gates still have no passing candidate, `205050` stratification stayed fail-closed, and the active `205958` root-branch scan had no run root at audit readback time.
402:- [x] Completion-audit v37 after direct Manipulation component pass. `20260511T210017` mapped the current objective to artifacts after `205047`, `205050`, `205054`, and the failed `204732` attempt. Strict full objective remains false: scoped Manipulation has a direct component pass, but Bull/Bear/Sideways/Crisis do not have passing RC-SPA branches, all five branches do not pass together, and no promoted packet exists for Pre-Bayes / BBN / CatBoost / execution tree. `update_goal=false`.
415:- [x] Completion-audit v46 after Flotron R6 uplift. `20260511T213558` re-ran the current-goal completion gates after the R6 uplift and kept completion fail-closed: ready intake roots `2/4`, R6 positives/matched negatives `41/41`, R6 minimum Wilson95 LCB `0.914332 < 0.95`, broad normal controls `false`, direct species closure `false`, source-label equivalence still unaccepted confidence, accepted rows added `0`, and `update_goal=false`.
416:- [x] Completion-audit v47 after vol-stress readback. `20260511T214439` mapped the explicit objective to current artifacts after `213155` and `213339`. Result: `goal_complete=false`, `update_goal=false`; the root-first branch-path contract and real artifact flow exist, but latest `VolStressTermStructureBreadthV1` still has `0/4` price roots passed, scoped `205047` Manipulation remains component-only, and Pre-Bayes / BBN / CatBoost / execution tree promotion remains blocked.
420:- [x] Completion-audit v48 after source-confidence calibration. `20260511T215015` verified that source-label equivalence is cleaner but still not accepted: all four labels are present, calibration accepts `0` labels at the `>=0.95` Wilson lower-bound gate, native sub-hour and R5 recency roots remain absent/blocked, R6 direct remains `41/41` with Wilson95 min LCB `0.914332 < 0.95`, and `update_goal=false`.
422:- [x] Completion-audit v49 after intraday rotation. `20260511T215334` mapped the explicit objective to current artifacts after `214454`, `214849`, v48 source-confidence calibration, and the options-sidecar diagnostic. Result: `goal_complete=false`, `update_goal=false`; root-first branch-path evidence exists and scoped `205047` Manipulation remains a component pass, but the latest verified scored price-root candidate `214454` has `0/4` price roots passed, Pre-Bayes / BBN / CatBoost / execution tree remain blocked, and the options sidecar is diagnostic-only because it has only single-snapshot option files.
474:- [x] B5-cleanwire-branch-catboost-closure-032157. `034002/downstream-combined-v1` combined the wire-fixed trades and aggregate regime-bundle exact branch paths in one clean state, then trained/applied/registered/enabled CatBoost. All commands `00-16` exited `0`; ingest applied `15,415/15,415` with `0` invalid rows; structural target exported `5` exact rooted paths and CatBoost runtime matched all `5` candidate-set paths. Promotion remains fail-closed because Pre-Bayes is `observe_only`, path-ranker validation is `0/30`, execution is `execution_blocked`, and workflow requires explicit user-selected historical data.
480:- [ ] B5-user-selected-historical-data-and-mature-validation-032157. Obtain explicit user-selected historical data for the combined `032157` state, run the workflow-deferred factor-research / structural-feedback path, and require mature branch/path-ranker validation before any new promotion check.
552:| 20260511T204335+0800-codex-current-goal-completion-audit-v35-after-source-outbox | BoardA_regime_factor_consumer_map_MainRegimeV2_roots_plus_scoped_manipulation | completion audit after source outbox | R2/R3/R4/R5 source files not acquired; R6 partial but blocked; accepted rows added 0 | n/a:audit_only | blocked:outbox_ready_rows_not_acquired | update_goal=false | `docs/experiments/actionable-regime-confidence/runs/20260511T204335-codex-current-goal-completion-audit-v35-after-source-outbox/completion-audit/current_goal_completion_audit_v35_after_source_outbox.md`, `docs/experiments/actionable-regime-confidence/runs/20260511T204335-codex-current-goal-completion-audit-v35-after-source-outbox/completion-audit/current_goal_completion_audit_v35_unmet_requirements.csv`, and `docs/experiments/actionable-regime-confidence/runs/20260511T204335-codex-current-goal-completion-audit-v35-after-source-outbox/checks/current_goal_completion_audit_v35_after_source_outbox_assertions.out` | Strict full objective remains false; continue with real source acquisition or a new material provider/family change before completion |
2649:- Promotion fields stayed false: `accepted_rows_added=0`, `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2658:- `update_goal=false`.
2678:- `045830` gate result is `source_label_extra_trees_threshold_screen_v1=terminated_no_terminal_screen_no_promotion`; all promotion fields stayed false, including `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2682:- `045926` promotion status stayed false: `accepted_rows_added=0`, `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2692:- `update_goal=false`.
2716:- Assertions reported `row_count=248440`, `gate_result=source_label_three_atom_qualifier_miner_v1=three_atom_scored_no_full_acceptance`, `accepted_three_atom_confidence_95_labels=none`, `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2725:- `update_goal=false`.
2737:- Both rows agree on the non-promoting payload facts: accepted three-atom confidence labels `[]`/`none`, `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2746:- `update_goal=false`.
2762:- The audit verdict is fail-closed: `strict_full_objective=false`, `goal_complete=false`, `promotion_allowed=false`, `update_goal=false`, and `blocked:user_selected_historical_data_missing`.
2783:- `update_goal=false`.
2798:- The strict objective remains incomplete: `strict_full_objective=false`, `goal_complete=false`, `promotion_allowed=false`, and `update_goal=false`.
2818:- `update_goal=false`.
2830:- Count-once facts remain: `source_label_single_atom_qualifier_scan_v1=single_atom_scored_no_full_acceptance`, `row_count=248440`, accepted single-atom confidence labels `[]`, no new confidence gate, no source-control evidence, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2838:- `update_goal=false`.
2849:- `045926` remains non-promoting: exit `0`, row count `248440`, gate `source_label_three_atom_qualifier_miner_v1=three_atom_scored_no_full_acceptance`, accepted three-atom confidence labels `[]`, no new confidence gate, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2859:- `update_goal=false`.
2874:- The strict objective remains incomplete: `strict_full_objective=false`, `goal_complete=false`, `promotion_allowed=false`, and `update_goal=false`.
2893:- `update_goal=false`.
2905:- Count-once `045926` facts remain: exit `0`, row count `248440`, `source_label_three_atom_qualifier_miner_v1=three_atom_scored_no_full_acceptance`, accepted three-atom confidence labels `[]`, no new confidence gate, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2914:- `update_goal=false`.
2945:- `update_goal=false`.
2964:- `update_goal=false`.
2986:- Assertions confirm `accepted_regime_confidence_labels=0`, `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
2996:- `update_goal=false`.
3021:- `update_goal=false`.
3033:- Count-once `050609` facts remain: command exit `0`, gate `source_label_extra_trees_light_threshold_screen_v1=extra_trees_light_scored_no_full_acceptance`, rows scored `248440`, accepted ExtraTrees-light confidence labels `[]`, accepted regime-confidence labels `0`, no new confidence gate, no source/control evidence, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3043:- `update_goal=false`.
3055:- Count-once `050609` facts remain: `row_count=248440`, `gate_result=source_label_extra_trees_light_threshold_screen_v1=extra_trees_light_scored_no_full_acceptance`, accepted Extra Trees light confidence labels `[]`/`none`, `accepted_regime_confidence_labels=0`, no new confidence gate, no source-control evidence, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3064:- `update_goal=false`.
3075:- Count-once `050609` facts remain: exit `0`, row count `248440`, `source_label_extra_trees_light_threshold_screen_v1=extra_trees_light_scored_no_full_acceptance`, accepted Extra Trees light confidence-95 labels `[]`, accepted regime confidence labels `0`, no new confidence gate, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3083:- `update_goal=false`.
3110:- `update_goal=false`.
3132:- Assertions reported `row_count=248440`, `gate_result=source_label_extra_trees_light_threshold_screen_v1=extra_trees_light_scored_no_full_acceptance`, `accepted_extra_trees_light_confidence_95_labels=none`, `accepted_regime_confidence_labels=0`, `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3142:- `update_goal=false`.
3168:- Promotion fields stayed false: `new_confidence_gate=false`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3177:- `update_goal=false`.
3188:- Count-once `050609` facts remain: command exit `0`, row count `248440`, gate `source_label_extra_trees_light_threshold_screen_v1=extra_trees_light_scored_no_full_acceptance`, accepted Extra Trees-light confidence labels `[]`, accepted regime-confidence labels `0`, no new confidence gate, no source/control evidence, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3197:- `update_goal=false`.
3215:- `update_goal=false`.
3222:- `050609` is terminal/count-once and non-promoting: exit `0`, row count `248440`, gate `extra_trees_light_scored_no_full_acceptance`, accepted confidence-95 labels `[]`, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3248:- Assertions passed: required roots absent `true`, accepted rows added `0`, canonical merge `false`, downstream promotion rerun `false`, strict full objective `false`, and `update_goal=false`.
3260:- `update_goal=false`.
3286:- `update_goal=false`.
3319:- `update_goal=false`.
3322:- Keep `034002` as the fail-closed cursor. This repair makes the next explicitly user-selected `HTF=1d`, `MTF=4h`, or `LTF=1h` run safer because copied states no longer route Auto-Quant execution back into the shared combined-state workspace. It is still plumbing evidence only, not profitability evidence.
3339:- Required source/control target roots remain absent; assertions pass for `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3348:- `update_goal=false`.
3367:- Assertions pass for `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3377:- `update_goal=false`.
3396:- This does not create selected-data Auto-Quant evidence, source/control evidence, canonical merge input, downstream promotion evidence, or trade-usable evidence.
3405:- `update_goal=false`.
3424:- This removes the `043449` copied-state workspace leakage mode, but it does not create user-selected historical data, fresh selected-data Auto-Quant training, nonzero mature rooted selected observations, or any downstream promotion packet.
3435:- `update_goal=false`.
3453:- `update_goal=false`.
3457:- `050609` remains count-once and non-promoting: no confidence-95 labels, no source/control evidence, no canonical merge, no downstream promotion rerun, and no trade-usable evidence.
3461:- `051556` verifies copied-state Auto-Quant config rebasing tests, but it is plumbing only and does not create user-selected historical data, fresh selected-data Auto-Quant training, or nonzero mature rooted selected observations.
3485:- Required source/control target roots remained absent.
3497:- `update_goal=false`.
3508:- Count-once `051145` facts remain: gate `post_050609_readonly_runtime_chain_v1=runtime_readback_no_source_unlock_no_promotion`, commands executed `8`, command failures `0`, Auto-Quant status `dependency_ready_seed_required`, health `true`, data ready `true`, required source/control target roots absent, no source-control evidence acquired, no canonical merge, no downstream promotion rerun, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
3518:- `update_goal=false`.
3537:- `update_goal=false`.
3544:- `051815`, `051909`, `052020`, and `052102` found no required source/control unlock; `051910` is Databento CFE route specificity only; `052231` is refreshed sendable request text only.
3546:- No post-v14 evidence creates user-selected historical data, nonzero mature rooted selected observations, canonical merge input, downstream promotion evidence, or trade-usable evidence.
3569:- `update_goal=false`.
3596:- `update_goal=false`.
3620:- The packet explicitly remains non-promoting: accepted rows added `0`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `trade_usable=false`, and `update_goal=false`.
3632:- `update_goal=false`.
3662:- `update_goal=false`.
3685:- Promotion fields in the assertion packet remain closed: accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, trade usable `false`, and `update_goal=false`.
3696:- `update_goal=false`.
3725:- `update_goal=false`.
3763:- `update_goal=false`.
3781:- `source_control_evidence_acquired=false`, `required_target_roots_mutated=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `trade_usable=false`, and `update_goal=false`.
3790:- `update_goal=false`.
3793:- Count `052301` only as an in-flight marker cleanup, not evidence for regime confidence, source/control acquisition, selected-data profitability, or completion. Keep `034002` as the fail-closed cursor. The next qualifying Board B action still requires explicit user selection of exactly one `HTF=1d`, `MTF=4h`, or `LTF=1h`, then selected-data Auto-Quant/factor-research with nonzero mature rooted branch observations and full branch-path preservation through Pre-Bayes/filter -> BBN -> CatBoost/path-ranker -> execution tree.
3802:- Count-once promotion facts remain fail-closed for Board B: accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, selected-data Auto-Quant training absent, nonzero mature rooted selected observations absent, trade usable `false`, and `update_goal=false`.
3814:- `update_goal=false`.
3825:- Count-once facts remain: UV rerun exit `0`, row count `248440`, gate `source_label_hgb_numeric_threshold_screen_v1=all_root_labels_hgb_numeric_accepted`, accepted HGB numeric confidence-95 labels `Bear`, `Bull`, `Crisis`, and `Sideways`, accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, trade usable `false`, and `update_goal=false`.
3826:- The local screen's `strict_full_objective=true` applies only to that source-label diagnostic gate. It does not satisfy Board B completion because no explicit user-selected historical dataset exists and no selected-data profitability chain has rerun.
3838:- `update_goal=false`.
3857:- `update_goal=false`.
3895:- `update_goal=false`.
3921:- `update_goal=false`.
3940:- `update_goal=false`.
3989:- `update_goal=false`.
4028:- `update_goal=false`.
4075:- `update_goal=false`.
4099:- `update_goal=false`.
4122:- `update_goal=false`.
4147:- Promotion fields remain fail-closed: accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
4160:- `update_goal=false`.
4183:- Promotion fields remain closed: accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, strict full objective `false`, trade usable `false`, and `update_goal=false`.
4195:- `update_goal=false`.
4208:- Board B promotion facts remain fail-closed: accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, selected-data Auto-Quant training absent, nonzero mature rooted selected observations absent, trade usable `false`, and `update_goal=false`.
4219:- `update_goal=false`.
4231:- Count-once promotion facts remain fail-closed: accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, selected-data Auto-Quant training absent, nonzero mature rooted selected observations absent, trade usable `false`, and `update_goal=false`.
4243:- `update_goal=false`.
4256:- Board B remains incomplete because accepted rows added `0`, source/control evidence acquired `false`, canonical merge `false`, downstream promotion rerun `false`, selected-data Auto-Quant training absent, nonzero mature rooted selected observations absent, trade usable `false`, and `update_goal=false`.
4267:- `update_goal=false`.
4286:- `update_goal=false`.
4291:- `052522` does not add accepted rows, source/control evidence, canonical merge input, downstream promotion rerun, selected-data Auto-Quant training, nonzero mature rooted observations, or trade-usable execution evidence.
4305:- Count-once blockers remain: copied state only, no explicit user-selected `HTF/MTF/LTF` dataset, Pre-Bayes `observe_only`, branch-path preservation not proven by this runtime readback, CatBoost/path-ranker mature rows `0/30`, execution candidate `execution_blocked`, and workflow `user_selected_historical_data_missing`.
4316:- `update_goal=false`.
4329:- Board B remains incomplete because no explicit user-selected historical dataset exists, no fresh selected-data Auto-Quant/factor-research packet exists, no nonzero mature rooted selected observations exist, no selected-data downstream promotion chain exists, and no trade-usable execution-tree packet exists.
4342:- `update_goal=false`.
4360:- `update_goal=false`.
4365:- `052522` counts once as numeric-tree source-label diagnostic evidence only; it does not supply source/control evidence, canonical merge input, downstream promotion rerun, or trade evidence.
4389:- `update_goal=false`.
4412:- `update_goal=false`.
4442:- `update_goal=false`.
4470:- `update_goal=false`.
4503:- `update_goal=false`.
4527:- Promotion fields stayed closed: accepted rows added `0`, `source_control_evidence_acquired=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
4540:- `update_goal=false`.
4543:- Count `053852` once as per-regime diagnostic field evidence only. It can support future source/control unlock work, but it does not unlock Board B promotion by itself. Keep `034002` as the fail-closed cursor. The next qualifying Board B action still requires explicit user selection of exactly one `HTF=1d`, `MTF=4h`, or `LTF=1h`, then selected-data Auto-Quant/factor-research with nonzero mature rooted observations before continuing through Pre-Bayes/filter -> BBN -> CatBoost/path-ranker -> execution tree.
4563:- Required source/control roots remained absent: `/tmp/ict-engine-board-a-r6-owner-export-v1`, `/tmp/ict-engine-native-subhour-source-label-intake`, and `/tmp/ict-engine-source-panel-recency-extension`.
4574:- `update_goal=false`.
4592:- Correction assertions reported `accepted_rows_added=0`, `source_control_evidence_acquired=false`, `target_root_mutated=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
4593:- Required source/control roots remained absent: `/tmp/ict-engine-board-a-r6-owner-export-v1`, `/tmp/ict-engine-native-subhour-source-label-intake`, and `/tmp/ict-engine-source-panel-recency-extension`.
4603:- `update_goal=false`.
4643:- `update_goal=false`.
4666:- This removes the combined-state dependency-bootstrap blocker only. It does not supply user-selected historical data, source/control evidence, canonical merge input, mature rooted observations, or downstream promotion validation.
4678:- `update_goal=false`.
4712:- `update_goal=false`.
4743:- `update_goal=false`.
4765:- Decision fields stayed closed: accepted rows added `0`, `source_control_evidence_acquired=false`, `target_root_mutated=false`, `canonical_merge=false`, `downstream_promotion_rerun=false`, `strict_full_objective=false`, `trade_usable=false`, and `update_goal=false`.
4776:- `update_goal=false`.
4816:- `update_goal=false`.
